"";"classe 1";"classe 2";"classe 3"
"música";8,848;-7,137;-0,078
"levantamento";-13,008;-17,561;68,5
"internacional";-9,65;-0,23;14,321
"inicial";37,534;-15,322;-5,156
"gênero";-11,782;5,827;1,074
"foco";2,52;-5,996;0,892
"coleta";-11,065;-8,251;43,204
"cinema";-14,111;7,009;1,272
"visão";-2,764;-1,029;8,039
"sujeito";13,918;-0,062;-13,428
"educativo";33,771;-7,137;-10,671
"discente";67,526;-17,276;-17,762
"descritivo";-16,244;-10,365;59,063
"crítico";-7,284;5,29;0,148
"agente";3,266;0,015;-4,131
"tratamento";0,002;-9,818;10,917
"questionário";2,962;-10,714;2,838
"expor";-0,364;12,531;-9,904
"coletivo";-5,29;0,059;4,682
"centro";0,132;-3,468;2,581
"viver";-11,782;35,408;-7,521
"função";-0,079;12,531;-12,157
"educandos";14,912;-3,175;-4,681
"descrever";-2,465;-11,91;28,53
"compor";-13,008;-1,048;23,939
"capítulo";4,434;-1,308;-0,992
"aplicar";2,13;-5,801;1,074
"região";-11,287;10,328;0,011
"referência";-7,893;-0,822;15,431
"realização";-0,27;-2,284;4,673
"informacional";-8,245;1,454;3,015
"devido";-0,247;11,414;-9,523
"celular";49,502;-15,294;-10,448
"superior";9,96;-19,445;1,925
"line";32,894;-12,544;-5,093
"implementação";20,898;-9,796;-2,163
"fato";-3,447;15,006;-4,768
"estrutura";-13,1;13,72;-0,021
"estabelecer";-2,608;11,388;-3,628
"especificamente";-0,004;-3,968;4,799
"entanto";-0,078;5,696;-5,093
"benefício";19,649;-5,451;-4,728
"atuação";-0,375;2,986;-1,442
"software";0,959;-11,449;6,675
"selecionar";-8,566;-5,781;31,944
"relevância";-0,253;-4,534;7,87
"on";32,894;-12,544;-5,093
"instrumento";-0,158;0,653;-0,197
"formato";5,108;-3,912;-0,071
"falar";-0,426;6,02;-3,742
"ensinar";44,782;-13,004;-10,212
"divulgação";-10,303;0,761;5,998
"conclusão";5,733;-3,591;-0,247
"capaz";2,154;0,653;-5,806
"tradicional";0,03;-0,213;0,097
"melhorar";39,959;-10,906;-9,795
"indicar";10,215;-5,178;-0,875
"inclusivo";42,904;-15,204;-7,47
"final";-2,305;3,507;-0,161
"ferramentas_digitais";21,023;-10,906;-1,693
"envolvido";7,252;-4,13;-0,442
"ensaio";-20,282;11,376;1,299
"breve";-8,245;-0,633;15,011
"autista";28,48;-8,799;-6,011
"adotar";0,03;-14,417;15,011
"violência";-6,877;33,667;-11,816
"tomar";-5,569;8,176;-0,324
"rodrigues";0,631;-3,512;1,358
"procurar";1,355;0,014;-1,826
"narrativo";-15,71;18,099;-0,137
"infantil";20,063;-6,788;-3,741
"graduação";-1,475;-18,152;34,006
"garantir";15,137;-3,737;-4,131
"espectro";31,022;-9,938;-6,242
"entrevista";-4,43;-11,449;34,016
"elaborar";0,406;-5,618;3,466
"constatar";-2,493;15,84;-6,706
"computação";-1,852;-5,451;15,431
"categoria";-1,475;13,841;-7,268
"bom";21,023;-5,178;-5,752
"amplo";-0,153;0;0,175
"transformar";24,601;-2,984;-11,415
"responder";-0,075;-0,037;0,246
"proposto";0,005;-3,737;3,964
"percepção";8,116;-1,559;-2,778
"olhar";1,355;0,014;-1,826
"nível";-0,076;-2,531;3,964
"letramento";18,029;-1,892;-9,016
"isolamento";34,411;-6,691;-11,662
"inglês";1,378;-5,451;1,583
"falta";19,649;-1,597;-11,013
"disponível";1,561;-3,355;0,411
"dimensão";-0,943;1,317;-0,041
"barro";0,065;1,149;-1,999
"aplicativo";35,689;-15,896;-4,131
"tic";42,633;-12,72;-9,405
"ponto";-4,348;0,027;4,085
"perceber";0,298;1,668;-3,82
"pai";20,359;-8,295;-2,807
"lugar";-7,101;17,597;-2,807
"francisco";-2,117;2,499;-0,024
"acontecer";47,672;-16,478;-8,615
"trindade";-1,587;-0,016;2,141
"situação";3,054;1,183;-9,016
"revelar";-0,564;-0,102;1,284
"proporcionar";7,943;-0,451;-5,065
"princípio";-5,125;2,384;0,54
"população";0,102;8,104;-11,415
"existir";-2,727;9,131;-2,218
"estimular";-0,012;0,444;-0,353
"curricular";0,326;-6,692;4,676
"constituição";-11,966;15,389;-0,3
"centrar";0,202;1,525;-3,215
"avaliar";7,614;-7,718;0,004
"auxiliar";0,102;0,147;-0,558
"servir";6,876;-0,302;-4,728
"repositório";-9,061;-13,004;49,332
"produto";-9,061;1,383;3,664
"ocorrer";-10,058;7,09;0,246
"número";-9,558;10,229;-0,026
"nascimento";-0,112;0,107;0
"melhoria";27,155;-11,686;-3,372
"fator";5,108;-0,302;-3,215
"cunho";-2,566;-7,623;21,504
"contínuo";7,775;-2,284;-1,748
"conectar";0;9,131;-10,448
"conceitual";-18,129;-9,295;59,943
"colocar";0,904;1,05;-4,395
"civil";-15,176;43,419;-8,627
"assunto";-7,893;5,317;0,246
"ambiental";7,46;-1,085;-3,112
"sul";-10,401;2,469;2,952
"souza";-1,728;0,001;1,812
"presencial";23,291;-6,263;-5,806
"obter";-6,033;17,25;-3,424
"institucional";-9,558;3,06;1,925
"identificação";-13,579;-4,124;36,617
"google";-6,853;-5,648;28,055
"enfatizar";31,052;-8,239;-7,854
"down";11,758;-2,574;-3,601
"conhecer";5,861;-1,32;-1,748
"compartilhar";-5,554;4,458;0,051
"aqui";-13,048;9,083;0,342
"adulto";-0,006;0,221;-0,176
"vivência";9,596;-5,648;-0,523
"tea";30,386;-9,388;-6,413
"rock";61,018;-18,851;-12,878
"lidar";11,112;-3,122;-2,635
"interdisciplinar";-5,125;-1,063;12,154
"distância";15,183;-0,827;-9,812
"concreto";0,211;-0,044;-0,068
"competência";2,631;-4,124;0,213
"apresentado";-10,413;-7,202;39,266
"aliar";40,038;-11,102;-9,639
"adequado";27,032;-4,557;-10,212
"voltar";-0,021;-0,615;0,981
"transtorno";13,727;-3,587;-3,53
"superar";25,339;-2,746;-12,473
"serviço";-0,281;1,243;-0,401
"realizado";4,299;-5,906;0,17
"laboratório";-1,064;-1,647;6,04
"início";2,631;-0,287;-1,29
"interpretação";-0,021;2,234;-2,087
"intelectual";-9,348;24,914;-4,464
"influência";-7,101;14,454;-1,576
"implicação";0,235;6,02;-9,812
"família";-4,744;2,323;0,443
"esfera";0,058;3,513;-5,091
"dinâmico";0,391;1,635;-4,1
"currículo";20,737;-5,196;-5,574
"contato";3,175;-0,615;-1,079
"constituir";-0,426;0,919;-0,114
"conseguir";-4,291;-0,003;5
"colaborativo";0,145;-4,842;3,804
"chamado";-10,929;-0,026;13,363
"basear";-2,493;-2,039;10,167
"avaliação";0,058;-0,615;0,342
"algo";12,513;-2,279;-4,464
"alcançar";16,759;-5,307;-3,424
"série";6,516;-0,001;-7,087
"personagem";-10,627;12,544;-0,123
"maria";-0,763;1,612;-0,19
"lei";-1,145;6,878;-2,807
"inserção";-6,355;6,801;-0,017
"iniciativa";-9,898;-0,072;12,969
"historiador";-6,033;-0,615;11,733
"exigir";4,494;-0,017;-4,39
"etapa";-3,101;-10,146;27,649
"digitalização";-6,143;-5,196;25,466
"demanda";1,951;-0,001;-2,087
"cidadão";27,559;-9,384;-5,091
"cidadania";0,326;5,774;-10,044
"central";-3,883;15,84;-4,739
"atualidade";4,697;-7,202;0,342
"alves";-0,163;-0,243;0,905
"adolescente";10,996;-2,893;-2,807
"acordo";1,951;-3,701;0,342
"xxi";22,001;-2,039;-11,662
"usado";-3,101;0;3,375
"torno";-11,987;11,62;0
"temático";-9,385;-1,711;21,385
"solução";0,326;0,105;-0,898
"registro";-11,987;0,07;11,319
"referir";-2,493;-0,429;5,584
"página";-5,187;-1,844;14,82
"procedimento";-8,365;-9,58;40,367
"potencialidade";8,51;-1,711;-2,807
"planejamento";22,001;-4,842;-6,706
"passado";-0,074;4,971;-4,39
"noção";-11,987;21,049;-1,576
"liberdade";-4,291;23,264;-8,832
"impactar";7,46;0,254;-11,662
"fase";-3,666;2,379;0,136
"estudar";-3,883;2,763;0,09
"emergir";4,749;-0,627;-2,101
"crescente";0,69;1,934;-5,574
"continuar";29,967;-8,838;-6,706
"atenção";0,145;0,792;-1,826
"alternativa";0,087;-2,59;1,986
"vivenciar";5,74;0,084;-8,025
"resposta";-3,101;5,846;-0,531
"promoção";22,418;-10,146;-2,508
"presença";-5,135;0,432;2,838
"observação";0;-1,115;1,265
"narrativa";-10,401;7,946;0,148
"múltiplo";2,962;0,07;-4,39
"mercado";-0,901;5,846;-2,508
"leitor";0,69;-0,058;-0,382
"intitular";-0,489;-4,215;8,584
"frente";3,583;-0,147;-2,508
"examinar";-0,168;-0,42;1,265
"especial";-1,145;2,084;-0,173
"emergente";-1,145;-1,711;6,373
"embora";-0,074;4,971;-4,39
"edição";-9,348;-3,776;28,055
"audiovisual";-7,858;-1,794;19,218
"unidade";-0,261;-1,657;3,66
"suporte";0,326;-0,008;-0,253
"segurança";1,168;0,174;-2,508
"referente";3,583;-3,939;0,016
"pessoal";-3,84;7,946;-0,898
"percurso";-3,84;-0,853;9,308
"oral";-8,823;-0,244;13,369
"of";-11,161;-0,627;19,05
"notícia";-9,874;6,806;0,273
"motivação";20,737;-5,196;-5,574
"modalidade";9,677;-1,402;-4,046
"linha";-10,929;9,131;0,064
"identidade";-9,874;15,068;-0,702
"gestor";28,956;-9,58;-5,574
"geração";-0,017;0,237;-0,148
"execução";17,14;-3,503;-5,574
"evento";-7,858;3,949;0,688
"estadual";0,174;-15,294;13,982
"design";2,002;0,105;-3,372
"crise";0,072;5,846;-8,218
"colaboração";0,986;-4,713;1,622
"abrir";-8,365;9,131;-0,033
"rio";-5,205;3,098;0,273
"responsável";-2,727;18,022;-7,821
"responsabilidade";1,549;0,966;-5,574
"religioso";-9,348;17,012;-1,408
"pertinente";-0,261;1,478;-0,579
"padrão";-11,695;12,208;-0,017
"obtido";-6,853;-10,519;38,724
"mundial";-1,246;7,946;-3,372
"medida";-0,074;3,949;-3,372
"mediação";0,148;0,031;-0,353
"matéria";8,227;-0,644;-4,681
"luz";-6,853;10,613;-0,523
"legislação";-1,532;1,934;-0,033
"geografia";8,227;-3,175;-1,248
"expressão";-10,401;13,326;-0,253
"exposição";-10,401;2,469;2,952
"estágio";17,433;-8,454;-1,667
"especificidade";0;-1,115;1,265
"empírico";-1,246;-0,258;2,952
"elaboração";0;-3,503;3,985
"dispositivo";-0,482;3,949;-1,938
"dinâmica";2,749;-1,115;-0,382
"desigualdade";10,985;-1,465;-4,831
"desempenho";13,24;-1,308;-6,816
"dano";-2,981;0,224;1,725
"cuidado";14,024;-0,618;-9,639
"criativo";2,749;-0,42;-1,11
"conduzir";0,015;-0,438;0,332
"atuar";6,177;-1,115;-2,218
"assumir";10,985;-1,465;-4,831
"apresentação";0;-2,143;2,435
"antes";-3,929;11,492;-2,354
"alfabetização";2,002;1,335;-7,425
"época";-13,3;13,326;-0,003
"visual";-5,671;7,946;-0,253
"tendência";-0,482;1,335;-0,253
"sobretudo";-3,426;9,2;-1,667
"seguinte";0,022;0,547;-0,898
"pequeno";-7,96;12,023;-0,538
"municipal";1,476;-1,442;0
"mapa";-11,695;-3,324;30,804
"local";-9,874;22,377;-3,043
"imigrante";11,758;-2,574;-3,601
"financeiro";0,043;0,224;-0,524
"filosofia";-9,348;24,914;-4,464
"fenômeno";-0,482;7,946;-5,201
"favorecer";3,373;0,547;-7,425
"fake_news";-10,627;19,99;-1,805
"eficiente";10,985;-2,672;-3,043
"disseminação";-2,365;3,949;-0,253
"consequência";0,986;0,547;-3,372
"compartilhamento";-5,205;18,542;-4,831
"apoio";-0,482;1,335;-0,253
"adoção";5,534;-0,219;-3,911
"técnico";-0,176;0,432;-0,068
"ressaltar";29,885;-6,167;-9,639
"referencial";-8,823;-0,878;17,055
"quantidade";-8,823;15,501;-1,162
"preparação";29,885;-14,11;-3,043
"plano";8,253;-3,324;-1,162
"pesquisar";2,536;-6,167;0,952
"mediar";4,093;0,237;-7,03
"marketing";-7,776;6,825;0,021
"lustosa";15,163;-4,684;-3,2
"junto";10,985;-4,239;-1,667
"instituto";-1,221;-0,644;4,087
"infra-estrutura";17,819;-5,136;-4,1
"individual";21,213;-2,672;-9,639
"homem";-9,874;22,377;-3,043
"gama";11,599;-4,103;-2,025
"ficar";2,324;0,698;-6,242
"existente";-5,205;0,237;3,544
"então";-3,426;1,784;0,273
"dossiê";-6,355;-1,904;17,055
"domínio";-1,375;-3,324;10,131
"despertar";19,883;-4,103;-6,413
"descobrir";3,333;0,003;-3,911
"controlo";-0,738;5,717;-2,722
"consistir";-7,354;-1,465;17,219
"caracterizar";-6,853;1,19;2,534
"animal";-2,252;5,677;-0,931
"ana";-0,325;0,592;-0,049
"abranger";-0,98;0,004;0,952
"unesco";-0,853;0,444;0,068
"tópico";0,031;-0,003;-0,017
"tdic";24,396;-12,337;-2,101
"tarefa";7,065;-0,413;-4,464
"rocha";-1,277;0,107;0,706
"risco";-1,083;0,013;0,947
"recente";-0,738;7,977;-4,464
"real";-1,083;1,045;0
"propiciar";19,507;-7,896;-2,722
"popular";-8,299;21,622;-3,741
"pedagogia";0,809;-0,413;-0,068
"paciente";20,063;-9,357;-2,101
"moderno";3,164;-1,158;-0,523
"localizar";-8,823;4,686;0,665
"letra";12,513;-3,776;-2,722
"jogador";-4,884;22,68;-7,622
"interessante";-1,277;0,107;0,706
"fluxo";-4,676;-0,008;5,64
"familiar";4,921;0,05;-6,635
"et";6,89;-3,649;-0,524
"enriquecer";11,038;-5,136;-1,162
"engajamento";23,584;-10,519;-2,722
"empresa";-10,627;24,36;-3,385
"educar";28,047;-7,896;-6,635
"documentação";-12,23;-10,519;51,108
"definir";-6,355;0,698;3,107
"data";-7,254;-5,697;29,024
"comprovar";4,921;-0,044;-4,464
"comportamento";1,793;0,432;-4,464
"complexo";-0,738;7,977;-4,464
"colaborar";0;-0,044;0,041
"capacitar";38,134;-13,519;-6,635
"borges";2,34;-5,906;0,971
"baseado";-0,738;-0,413;2,534
"ampliação";-0,523;1,635;-0,366
"voz";-8,823;9,308;-0,017
"unido";-11,161;17,611;-0,931
"retratar";0,391;-0,244;-0,017
"regime";-9,559;12,989;-0,353
"problemático";1,476;-0,008;-1,398
"participante";1,586;-6,788;2,124
"motivo";6,92;-1,068;-2,778
"lógica";-4,291;12,208;-2,407
