"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"trazer";1,04;1,16;0,28;0;0,19;0,86;1,12;0,72;1,02;1,79;0,51
"ao";5,2;3,48;3,89;3,99;3,47;4,09;4,71;5,13;3,25;4,77;3,75
"brasil";2,08;2,32;1,39;1,23;1,74;3,87;2,36;0,82;1,42;1,51;1,37
"observar";0,52;2,32;0,56;0,31;0,58;0,75;0,11;1,23;0,68;0,64;0,36
"proposta";1,04;1,16;0,28;0,92;1,35;1,08;1,12;1,33;0,68;0,61;0,76
"anterior";1,04;0;0,28;0;0;0,32;0;0,21;0;0,22;0,05
"definição";1,56;0;0;0;0,19;0,22;0;0,1;0,27;0,06;0,1
"fazer";1,56;3,48;3,05;1,53;1,54;1,72;1,46;2,56;1,96;2,69;1,22
"isso";2,08;1,16;0,28;0,92;0,77;0,65;0,67;0,82;0,54;0,55;0,71
"novo";4,16;8,11;4,44;3,99;3,86;4,3;3,59;2,46;3,39;2,38;1,47
"apresentado";0,52;1,16;0;1,23;0,19;0,43;0,45;0;0,27;0,07;0,46
"com";8,84;5,79;8,61;7,36;8,87;9,04;10,99;13,02;10,84;11,18;7,96
"diverso";1,04;0;0,83;0,92;0,96;2,04;1,79;1,23;1,22;0,64;1,47
"reflexo";1,04;0;0,28;0,31;0,58;0,32;0,34;0,1;0;0;0,05
"ela";1,04;0;0,83;0;0,58;0,43;0,67;0,31;0,54;0,46;0,46
"consigo";0,52;0;0;0;0;0;0,11;0;0;0,17;0
"inclusive";0,52;0;0;0;0;0,22;0,34;0;0,2;0,06;0,1
"revisão";1,04;0;0;0,31;0,58;0,54;0,34;0,31;1,15;0,46;2,08
"sobre";11,96;4,63;3,61;4,6;5,21;4,41;6,73;6,36;6,91;5,76;5,48
"sentido";0,52;0;1,11;0,31;1,16;1,18;0,9;1,74;0,61;1,38;0,36
"revolução";1,04;0;0,28;0,31;0,19;0;0,11;0,1;0,07;0,04;0,1
"ensaio";0,52;3,48;1,11;0,92;0,58;0,22;0,11;0,62;0,14;0,17;0,25
"iniciar";1,04;0;0;0,31;0;0,11;0,34;0,31;0,07;0,09;0,1
"pó";1,56;2,32;0;0;0,19;0,32;0,56;0,41;0,81;0,44;0,3
"sua";3,64;8,11;4,72;4,6;3,66;4,52;3,59;4,61;4,54;3,39;4,11
"aplicação";0,52;1,16;0,56;0,92;0,58;1,08;0,67;0,31;0,54;0,42;0,71
"contemporaneidade";0,52;0;0;0;0;0,22;0,45;0,21;0,07;0,09;0,05
"nosso";1,56;0;1,11;0;0;0,32;0,67;0,21;0,47;0,28;0,51
"objectivo";2,6;1,16;1,67;3,99;2,12;0,86;1,35;2,77;3,05;2,58;3,35
"procurar";0,52;1,16;0,56;0,61;0,19;0,22;0,34;0;0,2;0,39;0,1
"alguma";1,56;1,16;1,11;0,61;0,96;0;0,45;0,72;1,02;0,37;0,3
"capaz";0,52;0;0;0,31;0;0,32;0,11;0,21;0,2;0,48;0,15
"responder";0,52;1,16;0;0,31;0;0,11;0;0,21;0,27;0,41;0,25
"concreto";1,04;1,16;0;0;0,39;0,22;0,45;0;0;0,39;0
"liberdade";1,56;0;0,83;0;0,19;0,43;0;0;0,14;0,2;0,25
"estado";1,04;1,16;1,11;1,84;0,77;0,43;0,79;0,62;0,68;0,88;0,76
"verdadeiramente";0,52;0;0;0;0;0;0;0;0,07;0,2;0
"humano";4,68;0;0,56;1,23;0,39;1,94;1,35;2,67;2,37;0,81;1,52
"arte";1,04;0;2,5;0,61;0,39;0,11;0,56;1,64;0,34;0,18;0,3
"falar";0,52;0;0,56;0,31;0;0;0,11;0,41;0,14;0,52;0,05
"primeiro";3,12;0;1,11;1,84;1,16;0,11;1,35;1,13;0,75;0,74;0,3
"contextualização";0,52;0;0;0;0;0;0,11;0;0;0,17;0
"histórico";3,12;1,16;4,72;2,15;1,35;2,91;0,9;0,92;1,56;1,4;1,42
"origem";0,52;0;0;0,31;0;0,32;0,22;0,21;0,07;0,07;0,3
"moderno";0,52;0;0,83;0;0;0,43;0,11;0;0,27;0,07;0,3
"expressão";0,52;0;1,11;0,31;0,39;0,32;0;0,1;0,14;0,15;0,2
"artístico";0,52;0;0,56;0,61;0;0,11;0,11;0,31;0,14;0,13;0,1
"fim";1,56;0;1,39;0,92;0,58;0,54;1,35;1,03;1,35;1,12;0,51
"relação";3,12;2,32;1,39;3,37;0,39;2,37;1,57;1,64;2,24;1,99;1,78
"análise";2,08;1,16;1,67;2,45;1,54;1,83;3,03;3,69;2,71;1,79;2,89
"crítica";2,08;0;1,11;1,53;3,28;1,08;0,34;0,92;0,41;0,41;1,12
"potencial";0,52;1,16;0;0;0,39;0,43;0,9;0,62;0,14;0,48;0,76
"refletir";1,56;1,16;0,56;1,23;0,77;0,32;0,22;0,51;0,41;0,55;0,3
"importância";0,52;0;1,39;2,15;1,35;0;0,9;0,82;1,29;1,29;2,28
"musical";0,52;0;0,56;0,92;0;0;0;0,41;0,2;0,02;0
"opinião";2,08;0;0;0;0;0,11;0;0;0,07;0,06;0,61
"não";5,2;6,95;1,94;2,45;3,28;2,48;3,81;2,46;2,24;2,84;3,14
"processo";3,12;3,48;1,39;2,45;1,93;1,83;3,25;2,97;3,46;3,55;2,94
"construção";2,08;1,16;1,11;1,53;1,35;0,97;0,67;1,85;0,54;0,7;0,96
"resistência";2,08;0;0;0;0,19;0;0;0;0,34;0;0,46
"democrático";0,52;0;0;0;0;0,22;0;0,21;0;0,2;0,15
"regime";1,04;0;0;0;0,58;0;0;0,72;0,07;0,11;0,15
"militar";1,56;0;0;0;0;0;0;0,21;0,2;0,07;0
"brasileiro";4,16;0;1,39;1,53;0,96;1,83;2,02;1,44;0,54;1,22;1,37
"após";1,04;0;0;0,31;0,19;0,65;0,45;0,62;0,27;0,44;0,25
"civil";1,04;0;0;0,31;0,77;0,32;0;0,31;0,54;0,15;0,25
"base";2,08;1,16;1,39;0;1,35;2,15;1,01;1,64;1,35;1,01;0,86
"projeto";2,08;1,16;1,67;0,61;1,74;1,18;1,68;2,15;1,35;0,72;0,71
"estético";0,52;0;0,28;0,31;0;0,11;0;0,21;0;0,07;0,1
"principal";1,04;2,32;1,39;0,31;0,77;0,43;1,01;1,23;1,02;1,09;0,91
"cultural";3,12;10,43;0,83;0,61;1,74;0,65;1,01;1,54;0,47;0,79;0,66
"já";2,08;0;0,56;0;0,19;0,43;1,12;0,51;0,34;0,99;0,46
"ambos";0,52;0;0,28;0,61;0,39;0,54;0;0,21;0,14;0,06;0,1
"espécie";1,04;0;1,39;0,31;0;0;0,11;0,21;0,14;0,04;0,1
"pautar";0,52;0;0,28;0,31;0,39;0,22;0,22;0,1;0;0,07;0,05
"bom";1,04;0;0,28;0;0;0;0,22;0,1;0,34;0,44;0,15
"exemplo";1,04;0;0,28;0;0,39;0,43;0,9;0,41;0,27;0,33;0,2
"nortear";0,52;0;0;0;0;0,22;0,11;0;0,07;0,09;0,1
"atuação";0,52;0;0,28;0,31;0,19;0,32;0,67;0,51;0,54;0,15;0,36
"grande";1,04;0;0,56;1,23;0,96;1,4;1,01;1,74;1,08;1,42;0,71
"filho";0,52;0;0,56;0;0;0;0;0,1;0,14;0,11;0
"paulo";1,04;2,32;0,28;0,31;0,19;0,54;0,67;0,51;1,08;0,24;0,15
"ponte";0,52;0;0;0;0;0;0;0,31;0,07;0,18;0
"desde";2,08;0;0,56;2,15;0,58;1,29;0,67;0,51;0,14;0,55;0,81
"até";2,08;1,16;0,56;1,23;0,39;0,65;0,56;0,31;0,54;0,52;0,51
"reflexão";1,56;1,16;0,28;0,61;1,35;1,18;0,9;1,44;1,42;1,34;0,86
"estabelecimento";0,52;0;0,28;0;0,19;0,22;0;0,21;0,07;0,06;0,1
"método";1,04;1,16;1,67;0,61;0,77;0,86;0,56;0,72;1,08;0,96;1,42
"homem";1,04;0;0,28;0;0,19;0,11;0,22;0,51;0,07;0,13;0,2
"início";0,52;0;0,83;0;0;0,32;0,11;0,1;0,2;0,33;0,05
"organizar";0,52;0;0;0,92;0,58;0,11;0;0,1;0,34;0,04;0,25
"necessidade";0,52;0;0,83;1,23;1,16;0,43;0,56;1,13;0,75;1,57;2,18
"maioria";0,52;0;0;0;0,39;0,32;0,11;0,62;0,2;0,28;0,2
"sociedade";3,64;0;2,78;1,84;0,96;1,51;0,67;1,33;1,42;1,42;1,72
"mesmo";1,56;2,32;0,83;0,61;0,39;0,86;1,01;1,54;0,95;0,99;0,66
"pequeno";0,52;0;1,39;0;0;0,11;0;0,21;0,07;0,22;0,15
"possuir";2,08;0;0,56;0,92;0;0,86;0,56;0,72;0,47;0,48;0,36
"semelhante";0,52;0;0,28;0;0,19;0,11;0,22;0,21;0,14;0,04;0
"levar";0,52;2,32;0,56;0,31;0,39;0,43;0,79;0,62;0,54;0,66;0,41
"indivíduo";1,56;0;0,28;0;0;0,65;0,11;0,82;0,14;0,41;0,25
"categoria";0,52;0;0;0;0,19;1,18;0;0,21;0,41;0,28;0,1
"conexão";1,04;1,16;0;0;0,39;0,32;0,11;0,21;0,07;0,06;0,25
"mundial";0,52;0;0,56;0,31;0,19;0,22;0,34;0;0,14;0,17;0,25
"através";1,04;0;0,28;0,61;0,77;1,29;0,56;1,03;0,95;1,22;1,72
"rede";4,68;0;2,78;0,61;1,35;2,58;1,01;1,33;0,68;0,68;1,17
"computador";0,52;0;0,28;0;0,19;0,75;0,11;0;0,07;0,09;0,15
"possível";2,08;3,48;0,28;0,92;0,58;1,08;0,34;1,03;0,88;1,42;0,66
"tecnológico";2,08;1,16;1,11;1,53;1,74;0,75;1,23;1,74;1,42;1,27;2,03
"presente";1,56;0;1,94;3,37;2,7;2,26;1,35;2,87;2,17;1,47;2,03
"tecnologia";6,24;5,79;4,72;3,07;5,79;2,91;3,48;5,33;4,2;4,49;7,41
"informação";4,16;10,43;6,66;4,9;11,76;6,03;6,39;2,46;2,44;1,44;2,33
"comunicação";1,56;1,16;0,83;0,61;2,7;1,61;2,47;1,13;1,29;1,07;1,17
"tics";1,04;0;0,83;0;0;0,11;0,56;0;0;0,04;0,3
"acordo";0,52;0;0;0;0,19;0,32;0,45;0;0,34;0,2;0,25
"livro";0,52;0;0,83;0,61;0,39;0,11;0,67;0,92;0,41;0,88;0,66
"economia";0,52;0;0;0;0;0,11;0,22;0;0;0,06;0,3
"cultura";2,08;2,32;1,94;1,84;0,39;1,4;0,67;0,72;0,27;0,66;0,96
"p";0,52;0;0;0;0;0,75;0;0,31;0,07;0,11;0,1
"crescimento";0,52;0;0;0;0;0,32;0,22;0;0,2;0,13;0,2
"formar";0,52;0;0,56;0;0,39;0,43;0,34;0,1;0,14;0,06;0,05
"tipo";0,52;1,16;0,56;0,92;1,16;0,54;0,56;0,51;0,54;0,18;0,46
"organização";0,52;0;1,11;0,61;0,96;0,65;0,34;0,62;0,2;0,33;0,25
"social";6,24;3,48;2,22;2,76;4,63;5,17;3,03;4,72;4,2;3,06;3,55
"unido";1,04;0;0,28;0;0,19;0,11;0,22;0,41;0;0,15;0,15
"interesse";1,04;0;0;0;0,77;0;0,11;0,1;0,34;0,66;0,46
"comum";1,04;0;1,67;0,61;0,77;0,54;0,45;0,31;0,07;0,28;0,25
"exposição";0,52;0;1,11;0,61;0;0,11;0,22;0,1;0,27;0,09;0,3
"oral";0,52;0;0;0;0,58;0,22;0;0,1;0,07;0,31;0,1
"realizar";2,08;2,32;0,83;1,53;0,77;2,48;1,01;2,05;2,44;1,68;1,47
"2014";1,56;0;0;0;0,19;0,11;0;0,21;0,14;0,22;0,1
"teatro";2,08;0;0;0,61;0;0;0;0,41;0,07;0,02;0
"revista";2,08;0;0,28;0;0;0,86;1,68;1,23;0,2;0,18;0,2
"década";1,56;0;0,56;0;0;0,22;0,22;0,31;0,07;0,94;0,41
"destaque";0,52;0;0;0;0;0,11;0,11;0,21;0,2;0,2;0,1
"comportamento";0,52;0;0;0,61;1,54;0,43;0,22;0;0;0,06;0,15
"inspirar";0,52;0;0;0;0;0;0;0;0;0,18;0,15
"muita";0,52;0;0,56;0;0,19;0;0,45;0,21;0,27;0,13;0,05
"visar";0,52;0;0,56;0,31;0,19;0,54;0,34;0,31;0,54;0,52;0,41
"focar";0,52;0;0;0,61;0;0,22;0,22;0,1;0,14;0;0,3
"determinado";0,52;0;0;0,61;0,39;0;0,11;0,1;0,14;0,04;0,2
"mulher";3,12;0;0,56;0;0;0,65;0,79;1,13;0,88;0,09;0,25
"época";1,04;0;0,56;0;0,19;0;0,34;0,21;0,41;0,09;0,2
"tomar";0,52;0;0;0,61;0,19;0,43;0,45;0,62;0,34;0,18;0,25
"especificamente";0,52;0;0,28;0,92;1,35;0,32;0,34;0,1;0,34;0,22;0,25
"facebook";1,56;0;0,28;0;0;0,11;0;0,41;0,14;0,04;0
"hoje";1,56;0;0,83;0,31;1,35;0,43;0,22;0,31;0,2;0,28;0,36
"ferramentas_digitais";0,52;0;0,28;0;0;0,32;0;0,41;0,41;0,18;0,71
"possibilitar";0,52;0;0,28;0;0,58;0,54;0,56;0,82;0,68;0,29;0,2
"pessoa";0,52;0;0,56;0,61;3,47;0,65;0,9;0,21;1,63;2,12;0,81
"tema";1,04;0;1,11;0,92;0,58;0,65;1,46;1,23;1,56;0,96;1,52
"poder";1,56;4,63;5,27;2,45;4,82;2,69;2,13;4;2,78;2,71;4,21
"interagir";0,52;0;0;0;0;0,32;0,11;0;0,27;0,18;0,05
"compartilhar";0,52;0;0,28;0,31;0,39;0,43;0,34;0,41;0,14;0,26;0,05
"assim";1,04;3,48;2,5;2,15;0,77;0,86;1,23;1,85;1,56;1,79;1,17
"manter";0,52;0;0;0,31;0;0,11;0,67;0;0,07;0;0,2
"vivo";0,52;0;0,28;0,31;0;0;0;0;0;0,18;0
"moda";0,52;0;0,28;0;0;0;0;0,1;0;0,07;0,36
"marcar";0,52;0;0,28;0,31;0;0,11;0,11;0;0,14;0,09;0,05
"apesar";0,52;0;0,28;0;0,19;0,22;0,45;0,21;0,07;0,22;0,76
"presença";0,52;0;0,28;1,23;0,39;0;0,11;0,62;0,14;0,06;0,41
"página";5,2;0;0;0,31;0;0,75;0;0,21;0;0,17;0
"conteúdo";2,08;1,16;1,39;1,84;0,77;1,61;1,46;0,62;0,95;1,23;1,07
"pertinente";0,52;0;0;0;0;0;0;0,21;0,2;0,29;0,2
"melhor";0,52;1,16;0;0,31;0,58;0,22;0,22;0,31;0,68;0,96;0,41
"compreensão";0,52;1,16;0,28;0,61;0,39;0,32;0,67;0,1;0,14;0,44;0,56
"universo";1,04;0;0;0;0;0,11;0,11;0;0,07;0,24;0,15
"consistir";0,52;0;1,11;0;0,58;0,32;0,22;0,1;0,14;0;0,41
"denominar";0,52;0;0;0,31;0,19;0;0,11;0,1;0,14;0,06;0,1
"atualmente";0,52;0;0;0;0;0,32;0,11;0,21;0,07;0,17;0,1
"vir";0,52;0;1,11;1,84;0,39;0,65;1,23;0,72;0,2;0,85;0,25
"maior";0,52;0;0,56;0,61;0,39;1,18;0,79;0,41;0,88;0,66;0,36
"número";1,04;0;0,56;0;0,19;0,43;0,79;0,31;0,41;0,15;0,05
"participante";0,52;0;0;0;0,58;0;0;0,21;0,2;0,15;0,25
"sucesso";0,52;0;0,28;0;0;0,11;0;0,21;0,07;0,02;0,2
"apresentação";0,52;0;0;0,31;0,19;0,32;0,11;0,31;0,34;0,11;0,25
"segundo";1,04;0;1,39;0,92;0,58;0,65;0,34;0,21;0,61;0,42;0,36
"pessoal";1,04;0;0;0;0,19;0,54;0,11;0,31;0,34;0,13;0,15
"mostrar";0,52;3,48;1,11;0,92;0,39;0,32;0,56;0,62;0,75;1,64;0,81
"lembrar";0,52;0;0;0;0;0,11;0,11;0;0,07;0,15;0,05
"antigo";0,52;0;0;0,31;0;0;0,22;0;0,34;0,11;0,05
"esta";0,52;2,32;1,11;1,23;0,96;1,29;0,9;0,41;1,08;0,7;1,22
"pesquisa";3,64;1,16;3,33;4,29;9,64;7,43;6,95;2,26;5,76;5,63;4,11
"dado";2,6;1,16;1,67;3,37;3,47;4,09;2,02;1,33;3,52;1,12;2,79
"relacionado";1,04;1,16;0,56;1,23;0,77;0,32;0,45;0,41;0,54;0,39;0,36
"perfil";0,52;0;0,28;0,61;0,19;0;0;0;0,2;0,94;0,41
"ferramenta";1,04;0;1,11;0,31;1,74;2,04;1,23;1,03;1,49;1,09;1,98
"postagem";1,04;0;0;0;0;0,75;0;0,1;0,07;0;0,15
"comprovar";0,52;0;0;0,61;0;0,22;0,11;0;0,14;0,26;0,05
"interação";1,04;0;0,28;0,31;0;0,75;0,45;1,03;0,75;0,42;0,51
"repercussão";0,52;0;0;0;0;0,22;0,34;0,1;0,27;0,02;0,1
"compartilhamento";0,52;0;0;0;0,58;0,75;0,11;0,1;0;0,2;0,05
"passar";0,52;1,16;1,39;0,31;0,77;0,65;0,9;1,03;0,61;0,44;0,3
"computação";1,04;1,16;0,56;0;0,96;0,65;0,34;0;0,34;0,22;0,1
"também";2,08;3,48;2,5;1,23;1,54;1,18;1,79;1,33;1,49;1,47;2,38
"comparar";0,52;0;0,28;0,31;0;0,22;0,11;0,1;0,14;0,02;0,05
"diferença";0,52;1,16;0;0,31;0;0,11;0,22;0,1;0,2;0,13;0,1
"cunho";0,52;0;0;0;0;0,11;0;0,1;0,34;0,46;0,05
"encontrar";0,52;0;0,56;0,92;0,58;0,43;0,67;0,31;0,75;0,72;0,56
"momento";1,56;0;0;1,84;1,35;0,11;0,11;0,92;0,81;0,48;0,1
"resultado";1,04;2,32;0,56;1,84;2,12;1,29;1,68;1,95;2,24;1,66;2,89
"final";0,52;0;0;0,31;0,77;0,11;0,45;0,31;0,34;0,11;0,71
"introdução";1,56;0;0,28;0;0,77;0;0,11;0,31;0;0,11;0,1
"estabelecer";0,52;0;0,56;0;0,96;0,65;0,45;0,41;0,07;0,18;0,41
"global";0,52;0;0,56;0,31;1,16;0,32;0,56;0,1;0,47;0,29;0,25
"qual";1,56;0;0,28;2,15;0,96;1,29;1,01;1,64;2,44;1,93;1,07
"diferente";1,04;0;0;1,23;2,31;1,72;1,23;0,82;1,76;0,63;1,22
"modo";1,04;0;0,28;0,31;1,74;0,75;1,01;1,74;0,47;0,77;0,81
