"";"*HDLENS2014";"*HDLENS2015";"*HDLENS2016";"*HDLENS2017";"*HDLENS2018";"*HDLENS2019";"*HDLENS2020";"*HDLENS2021";"*HDLENS2022";"*HDLENS2023";"*HDLENS2024"
"tratar";2;3;3;1;7;4;3;10;17;50;8
"uso";4;3;6;4;17;21;14;27;46;172;64
"política";4;0;3;0;4;0;6;7;5;15;14
"geral";4;2;4;3;7;9;10;7;9;51;20
"especialmente";2;0;1;0;2;2;0;3;4;20;13
"trazer";2;1;1;0;1;8;10;7;15;97;10
"ao";10;3;14;13;18;38;42;50;48;259;74
"brasil";4;2;5;4;9;36;21;8;21;82;27
"observar";1;2;2;1;3;7;1;12;10;35;7
"proposta";2;1;1;3;7;10;10;13;10;33;15
"anterior";2;0;1;0;0;3;0;2;0;12;1
"definição";3;0;0;0;1;2;0;1;4;3;2
"fazer";3;3;11;5;8;16;13;25;29;146;24
"isso";4;1;1;3;4;6;6;8;8;30;14
"novo";8;7;16;13;20;40;32;24;50;129;29
"apresentado";1;1;0;4;1;4;4;0;4;4;9
"com";17;5;31;24;46;84;98;127;160;607;157
"diverso";2;0;3;3;5;19;16;12;18;35;29
"reflexo";2;0;1;1;3;3;3;1;0;0;1
"ela";2;0;3;0;3;4;6;3;8;25;9
"consigo";1;0;0;0;0;0;1;0;0;9;0
"inclusive";1;0;0;0;0;2;3;0;3;3;2
"revisão";2;0;0;1;3;5;3;3;17;25;41
"sobre";23;4;13;15;27;41;60;62;102;313;108
"sentido";1;0;4;1;6;11;8;17;9;75;7
"revolução";2;0;1;1;1;0;1;1;1;2;2
"ensaio";1;3;4;3;3;2;1;6;2;9;5
"iniciar";2;0;0;1;0;1;3;3;1;5;2
"pó";3;2;0;0;1;3;5;4;12;24;6
"sua";7;7;17;15;19;42;32;45;67;184;81
"aplicação";1;1;2;3;3;10;6;3;8;23;14
"contemporaneidade";1;0;0;0;0;2;4;2;1;5;1
"nosso";3;0;4;0;0;3;6;2;7;15;10
"objectivo";5;1;6;13;11;8;12;27;45;140;66
"procurar";1;1;2;2;1;2;3;0;3;21;2
"alguma";3;1;4;2;5;0;4;7;15;20;6
"capaz";1;0;0;1;0;3;1;2;3;26;3
"responder";1;1;0;1;0;1;0;2;4;22;5
"concreto";2;1;0;0;2;2;4;0;0;21;0
"liberdade";3;0;3;0;1;4;0;0;2;11;5
"estado";2;1;4;6;4;4;7;6;10;48;15
"verdadeiramente";1;0;0;0;0;0;0;0;1;11;0
"humano";9;0;2;4;2;18;12;26;35;44;30
"arte";2;0;9;2;2;1;5;16;5;10;6
"falar";1;0;2;1;0;0;1;4;2;28;1
"primeiro";6;0;4;6;6;1;12;11;11;40;6
"contextualização";1;0;0;0;0;0;1;0;0;9;0
"histórico";6;1;17;7;7;27;8;9;23;76;28
"origem";1;0;0;1;0;3;2;2;1;4;6
"moderno";1;0;3;0;0;4;1;0;4;4;6
"expressão";1;0;4;1;2;3;0;1;2;8;4
"artístico";1;0;2;2;0;1;1;3;2;7;2
"fim";3;0;5;3;3;5;12;10;20;61;10
"relação";6;2;5;11;2;22;14;16;33;108;35
"análise";4;1;6;8;8;17;27;36;40;97;57
"crítica";4;0;4;5;17;10;3;9;6;22;22
"potencial";1;1;0;0;2;4;8;6;2;26;15
"refletir";3;1;2;4;4;3;2;5;6;30;6
"importância";1;0;5;7;7;0;8;8;19;70;45
"musical";1;0;2;3;0;0;0;4;3;1;0
"opinião";4;0;0;0;0;1;0;0;1;3;12
"não";10;6;7;8;17;23;34;24;33;154;62
"processo";6;3;5;8;10;17;29;29;51;193;58
"construção";4;1;4;5;7;9;6;18;8;38;19
"resistência";4;0;0;0;1;0;0;0;5;0;9
"democrático";1;0;0;0;0;2;0;2;0;11;3
"regime";2;0;0;0;3;0;0;7;1;6;3
"militar";3;0;0;0;0;0;0;2;3;4;0
"brasileiro";8;0;5;5;5;17;18;14;8;66;27
"após";2;0;0;1;1;6;4;6;4;24;5
"civil";2;0;0;1;4;3;0;3;8;8;5
"base";4;1;5;0;7;20;9;16;20;55;17
"projeto";4;1;6;2;9;11;15;21;20;39;14
"estético";1;0;1;1;0;1;0;2;0;4;2
"principal";2;2;5;1;4;4;9;12;15;59;18
"cultural";6;9;3;2;9;6;9;15;7;43;13
"já";4;0;2;0;1;4;10;5;5;54;9
"ambos";1;0;1;2;2;5;0;2;2;3;2
"espécie";2;0;5;1;0;0;1;2;2;2;2
"pautar";1;0;1;1;2;2;2;1;0;4;1
"bom";2;0;1;0;0;0;2;1;5;24;3
"exemplo";2;0;1;0;2;4;8;4;4;18;4
"nortear";1;0;0;0;0;2;1;0;1;5;2
"atuação";1;0;1;1;1;3;6;5;8;8;7
"grande";2;0;2;4;5;13;9;17;16;77;14
"filho";1;0;2;0;0;0;0;1;2;6;0
"paulo";2;2;1;1;1;5;6;5;16;13;3
"ponte";1;0;0;0;0;0;0;3;1;10;0
"desde";4;0;2;7;3;12;6;5;2;30;16
"até";4;1;2;4;2;6;5;3;8;28;10
"reflexão";3;1;1;2;7;11;8;14;21;73;17
"estabelecimento";1;0;1;0;1;2;0;2;1;3;2
"método";2;1;6;2;4;8;5;7;16;52;28
"homem";2;0;1;0;1;1;2;5;1;7;4
"início";1;0;3;0;0;3;1;1;3;18;1
"organizar";1;0;0;3;3;1;0;1;5;2;5
"necessidade";1;0;3;4;6;4;5;11;11;85;43
"maioria";1;0;0;0;2;3;1;6;3;15;4
"sociedade";7;0;10;6;5;14;6;13;21;77;34
"mesmo";3;2;3;2;2;8;9;15;14;54;13
"pequeno";1;0;5;0;0;1;0;2;1;12;3
"possuir";4;0;2;3;0;8;5;7;7;26;7
"semelhante";1;0;1;0;1;1;2;2;2;2;0
"levar";1;2;2;1;2;4;7;6;8;36;8
"indivíduo";3;0;1;0;0;6;1;8;2;22;5
"categoria";1;0;0;0;1;11;0;2;6;15;2
"conexão";2;1;0;0;2;3;1;2;1;3;5
"mundial";1;0;2;1;1;2;3;0;2;9;5
"através";2;0;1;2;4;12;5;10;14;66;34
"rede";9;0;10;2;7;24;9;13;10;37;23
"computador";1;0;1;0;1;7;1;0;1;5;3
"possível";4;3;1;3;3;10;3;10;13;77;13
"tecnológico";4;1;4;5;9;7;11;17;21;69;40
"presente";3;0;7;11;14;21;12;28;32;80;40
"tecnologia";12;5;17;10;30;27;31;52;62;244;146
"informação";8;9;24;16;61;56;57;24;36;78;46
"comunicação";3;1;3;2;14;15;22;11;19;58;23
"tics";2;0;3;0;0;1;5;0;0;2;6
"acordo";1;0;0;0;1;3;4;0;5;11;5
"livro";1;0;3;2;2;1;6;9;6;48;13
"economia";1;0;0;0;0;1;2;0;0;3;6
"cultura";4;2;7;6;2;13;6;7;4;36;19
"p";1;0;0;0;0;7;0;3;1;6;2
"crescimento";1;0;0;0;0;3;2;0;3;7;4
"formar";1;0;2;0;2;4;3;1;2;3;1
"tipo";1;1;2;3;6;5;5;5;8;10;9
"organização";1;0;4;2;5;6;3;6;3;18;5
"social";12;3;8;9;24;48;27;46;62;166;70
"unido";2;0;1;0;1;1;2;4;0;8;3
"interesse";2;0;0;0;4;0;1;1;5;36;9
"comum";2;0;6;2;4;5;4;3;1;15;5
"exposição";1;0;4;2;0;1;2;1;4;5;6
"oral";1;0;0;0;3;2;0;1;1;17;2
"realizar";4;2;3;5;4;23;9;20;36;91;29
"2014";3;0;0;0;1;1;0;2;2;12;2
"teatro";4;0;0;2;0;0;0;4;1;1;0
"revista";4;0;1;0;0;8;15;12;3;10;4
"década";3;0;2;0;0;2;2;3;1;51;8
"destaque";1;0;0;0;0;1;1;2;3;11;2
"comportamento";1;0;0;2;8;4;2;0;0;3;3
"inspirar";1;0;0;0;0;0;0;0;0;10;3
"muita";1;0;2;0;1;0;4;2;4;7;1
"visar";1;0;2;1;1;5;3;3;8;28;8
"focar";1;0;0;2;0;2;2;1;2;0;6
"determinado";1;0;0;2;2;0;1;1;2;2;4
"mulher";6;0;2;0;0;6;7;11;13;5;5
"época";2;0;2;0;1;0;3;2;6;5;4
"tomar";1;0;0;2;1;4;4;6;5;10;5
"especificamente";1;0;1;3;7;3;3;1;5;12;5
"facebook";3;0;1;0;0;1;0;4;2;2;0
"hoje";3;0;3;1;7;4;2;3;3;15;7
"ferramentas_digitais";1;0;1;0;0;3;0;4;6;10;14
"possibilitar";1;0;1;0;3;5;5;8;10;16;4
"pessoa";1;0;2;2;18;6;8;2;24;115;16
"tema";2;0;4;3;3;6;13;12;23;52;30
"poder";3;4;19;8;25;25;19;39;41;147;83
"interagir";1;0;0;0;0;3;1;0;4;10;1
"compartilhar";1;0;1;1;2;4;3;4;2;14;1
"assim";2;3;9;7;4;8;11;18;23;97;23
"manter";1;0;0;1;0;1;6;0;1;0;4
"vivo";1;0;1;1;0;0;0;0;0;10;0
"moda";1;0;1;0;0;0;0;1;0;4;7
"marcar";1;0;1;1;0;1;1;0;2;5;1
"apesar";1;0;1;0;1;2;4;2;1;12;15
"presença";1;0;1;4;2;0;1;6;2;3;8
"página";10;0;0;1;0;7;0;2;0;9;0
"conteúdo";4;1;5;6;4;15;13;6;14;67;21
"pertinente";1;0;0;0;0;0;0;2;3;16;4
"melhor";1;1;0;1;3;2;2;3;10;52;8
"compreensão";1;1;1;2;2;3;6;1;2;24;11
"universo";2;0;0;0;0;1;1;0;1;13;3
"consistir";1;0;4;0;3;3;2;1;2;0;8
"denominar";1;0;0;1;1;0;1;1;2;3;2
"atualmente";1;0;0;0;0;3;1;2;1;9;2
"vir";1;0;4;6;2;6;11;7;3;46;5
"maior";1;0;2;2;2;11;7;4;13;36;7
"número";2;0;2;0;1;4;7;3;6;8;1
"participante";1;0;0;0;3;0;0;2;3;8;5
"sucesso";1;0;1;0;0;1;0;2;1;1;4
"apresentação";1;0;0;1;1;3;1;3;5;6;5
"segundo";2;0;5;3;3;6;3;2;9;23;7
"pessoal";2;0;0;0;1;5;1;3;5;7;3
"mostrar";1;3;4;3;2;3;5;6;11;89;16
"lembrar";1;0;0;0;0;1;1;0;1;8;1
"antigo";1;0;0;1;0;0;2;0;5;6;1
"esta";1;2;4;4;5;12;8;4;16;38;24
"pesquisa";7;1;12;14;50;69;62;22;85;306;81
"dado";5;1;6;11;18;38;18;13;52;61;55
"relacionado";2;1;2;4;4;3;4;4;8;21;7
"perfil";1;0;1;2;1;0;0;0;3;51;8
"ferramenta";2;0;4;1;9;19;11;10;22;59;39
"postagem";2;0;0;0;0;7;0;1;1;0;3
"comprovar";1;0;0;2;0;2;1;0;2;14;1
"interação";2;0;1;1;0;7;4;10;11;23;10
"repercussão";1;0;0;0;0;2;3;1;4;1;2
"compartilhamento";1;0;0;0;3;7;1;1;0;11;1
"passar";1;1;5;1;4;6;8;10;9;24;6
"computação";2;1;2;0;5;6;3;0;5;12;2
"também";4;3;9;4;8;11;16;13;22;80;47
"comparar";1;0;1;1;0;2;1;1;2;1;1
"diferença";1;1;0;1;0;1;2;1;3;7;2
"cunho";1;0;0;0;0;1;0;1;5;25;1
"encontrar";1;0;2;3;3;4;6;3;11;39;11
"momento";3;0;0;6;7;1;1;9;12;26;2
"resultado";2;2;2;6;11;12;15;19;33;90;57
"final";1;0;0;1;4;1;4;3;5;6;14
"introdução";3;0;1;0;4;0;1;3;0;6;2
"estabelecer";1;0;2;0;5;6;4;4;1;10;8
"global";1;0;2;1;6;3;5;1;7;16;5
"qual";3;0;1;7;5;12;9;16;36;105;21
"diferente";2;0;0;4;12;16;11;8;26;34;24
"modo";2;0;1;1;9;7;9;17;7;42;16
"vida";2;0;6;2;3;14;11;9;15;77;18
"história";2;4;7;7;12;26;23;16;41;174;35
"causar";1;0;1;0;0;3;2;3;9;37;3
"impacto";1;0;2;3;3;3;7;1;9;30;30
"profundo";2;0;0;3;0;2;3;1;1;2;2
"cotidiano";1;0;2;0;1;3;5;1;10;46;8
"dar";3;0;3;1;1;4;6;8;9;23;17
"pensar";4;0;7;0;10;4;5;5;8;9;1
"ação";2;4;0;3;4;5;5;15;19;44;12
"mediação";3;2;1;0;0;0;2;1;3;10;4
"particularidade";2;0;0;0;0;0;4;1;0;2;1
"território";2;0;0;1;3;1;2;1;0;7;2
"híbrido";1;0;0;0;1;0;0;3;5;3;5
"analisar";4;0;7;9;7;9;13;20;28;101;56
"mudança";2;1;0;3;2;4;7;7;18;49;17
"informacional";1;0;1;2;11;2;8;3;7;2;5
"contemporâneo";2;0;5;0;3;7;9;10;4;15;19
"compreender";2;1;1;5;6;6;0;3;10;94;24
"aspecto";2;0;4;6;2;14;7;8;9;44;13
"mapear";1;0;0;0;1;1;3;0;2;6;1
"algum";1;1;4;4;3;3;6;4;10;26;7
"envolver";2;1;4;4;9;10;5;5;10;11;11
"questão";2;1;9;6;8;13;10;13;10;44;20
"discutir";3;2;4;7;7;7;6;11;18;28;24
"campo";4;3;4;12;22;19;28;9;18;79;20
"mídia";2;2;2;3;1;2;5;18;12;38;20
"bibliográfico";1;0;1;2;5;3;4;4;23;94;39
"observação";1;0;1;2;3;1;1;2;2;13;2
"clássico";1;0;0;1;0;2;1;1;0;6;0
"temática";1;0;4;0;3;4;4;9;5;30;10
"conclusão";1;1;1;0;1;3;1;4;4;13;11
"entre";9;4;15;13;10;36;25;49;39;118;66
"tornar";3;0;2;1;6;5;7;1;12;85;27
"cada";2;0;9;0;2;7;3;9;9;36;16
"vez";2;0;9;2;2;10;9;9;11;33;13
"evidência";1;0;0;1;2;0;1;0;1;14;2
"embora";1;1;1;0;1;0;5;0;1;4;14
"ainda";2;2;1;6;4;8;9;8;10;35;25
"surgir";1;0;0;0;3;2;1;3;4;42;2
"interdisciplinar";1;2;0;1;4;4;6;1;4;5;4
"decorrente";1;0;0;0;4;2;0;0;2;8;1
"unidade";1;2;1;0;0;2;1;0;0;17;3
"luta";1;0;0;1;0;1;2;0;1;3;2
"partir";4;3;10;9;15;13;20;30;38;93;53
"múltiplo";1;0;1;1;0;2;3;3;4;11;2
"estratégia";1;0;3;0;1;4;5;12;13;35;34
"ampliar";1;0;4;0;0;2;4;4;7;22;8
"participação";2;0;1;0;0;4;1;2;10;15;12
"feminino";5;0;0;0;0;0;0;3;1;1;2
"garantir";1;0;0;0;0;2;3;0;6;16;10
"texto";3;5;7;6;4;20;12;14;18;128;18
"durante";1;0;3;1;1;3;3;3;5;45;13
"século";2;0;4;3;2;3;8;4;5;29;13
"xix";1;0;2;0;1;1;2;2;0;5;1
"jornal";2;0;0;0;1;0;5;4;4;4;0
"periódico";1;0;2;2;1;13;7;5;3;4;8
"destinar";1;0;1;0;0;0;3;0;5;10;1
"papel";2;1;3;2;1;7;13;17;6;37;31
"fomentar";1;0;1;0;0;1;2;2;3;4;4
"questionar";3;1;0;1;0;2;0;0;2;7;3
"posição";1;0;0;1;1;0;1;0;1;8;1
"entendido";1;0;0;0;0;4;0;0;3;2;1
"ampliação";2;0;0;1;2;1;1;6;4;6;0
"esfera";1;0;0;0;0;3;2;3;1;14;7
"público";2;0;5;4;4;5;21;21;22;80;44
"agora";2;1;0;0;2;0;4;0;2;4;2
"ano";1;0;6;2;2;3;19;28;23;39;27
"família";1;0;0;0;2;0;1;4;2;16;5
"perspectiva";3;3;2;4;6;12;12;16;20;48;20
"evoluir";1;0;0;0;0;2;0;1;0;4;2
"natureza";1;1;1;2;3;7;1;2;9;29;7
"instrumento";1;0;0;0;0;1;1;3;4;25;5
"técnico";1;0;0;1;1;0;2;7;2;4;6
"linguagem";1;0;0;1;5;8;7;8;6;5;6
"sempre";1;0;1;1;0;0;2;2;2;11;1
"complexo";1;0;1;1;3;0;0;3;4;6;4
"expansão";2;0;1;0;1;0;0;1;0;5;8
"científico";1;0;7;2;30;28;40;25;26;36;24
"atualidade";3;0;0;0;1;4;1;1;3;15;2
"aumentar";1;0;0;0;0;1;1;1;5;4;5
"significativamente";1;1;0;0;1;0;1;0;1;2;7
"essa";2;2;3;4;2;15;16;9;17;124;31
"complexidade";1;0;3;2;2;2;0;1;0;5;6
"transformação";2;0;1;2;3;7;1;10;8;61;23
"aprender";1;0;0;0;2;8;3;2;3;29;2
"precisar";1;0;0;0;4;4;5;8;0;28;4
"amplo";1;1;1;0;1;4;5;3;3;13;6
"sócio";1;0;0;0;0;1;0;0;1;8;0
"caráter";1;0;1;2;7;1;6;4;6;16;4
"aprendizagem";1;4;0;1;7;10;9;23;42;230;55
"todo";1;2;10;2;1;13;11;10;21;90;22
"tic";2;0;0;0;1;0;4;1;1;19;8
"pedagógico";1;1;0;0;2;4;8;16;15;60;37
"educativo";1;0;0;0;0;1;0;2;11;8;22
"escolar";3;0;4;0;1;9;0;6;10;51;16
"natural";1;0;0;0;0;1;2;2;4;4;7
"artista";1;0;1;1;0;1;2;5;4;1;2
"criar";2;1;4;0;2;6;3;7;6;52;9
"próprio";2;2;3;3;4;6;5;2;5;15;10
"diante";1;0;0;1;1;2;6;9;8;54;16
"referencial";1;0;3;0;1;2;5;1;3;2;6
"verificar";1;3;0;1;2;5;4;3;6;20;3
"possibilidade";4;3;5;5;5;8;9;10;13;50;7
"implicação";1;0;1;0;2;4;3;0;2;13;5
"epistemológico";1;0;0;1;3;5;2;1;3;2;0
"demais";1;0;0;0;0;1;0;2;2;4;2
"elemento";2;1;3;6;3;2;2;9;7;17;8
"acreditar";1;0;1;2;0;0;0;0;0;17;1
"oportunidade";1;2;0;1;2;7;5;6;3;19;14
"benefício";1;0;1;1;1;0;3;0;0;25;9
"ambiente";4;2;1;2;4;10;13;6;18;53;30
"potencializar";1;0;1;1;0;1;0;1;2;2;6
"recurso";1;3;1;1;7;3;11;8;12;101;37
"contato";1;1;0;1;0;5;1;2;3;14;3
"meio";1;1;13;11;6;12;29;28;40;139;55
"efetivo";1;0;0;0;2;0;2;1;1;4;4
"consolidação";1;0;0;0;0;0;0;0;0;9;1
"planeta";1;0;0;2;0;1;1;2;5;2;1
"decisão";1;0;0;0;0;1;1;3;4;3;4
"colaboração";2;0;1;0;0;4;3;0;3;5;9
"associação";1;0;0;0;2;4;3;1;1;2;0
"interativo";1;0;0;0;1;0;2;1;0;8;9
"palavra";1;0;4;5;7;21;11;13;13;11;5
"chave";1;0;4;6;7;21;13;5;11;4;4
"educação";4;0;8;5;8;24;22;50;85;314;92
"dimensão";1;1;3;0;2;3;7;4;6;6;4
"crise";2;0;1;0;0;1;6;1;9;6;1
"autor";3;0;6;5;1;9;11;13;14;71;17
"freire";2;0;0;0;0;1;0;0;11;3;1
"tender";1;1;3;1;2;6;3;10;15;61;4
"registro";1;0;3;1;3;2;3;5;4;6;1
"publicação";1;0;2;0;1;7;12;13;3;10;9
"educacional";1;0;2;0;3;8;3;8;14;84;55
"depois";2;1;1;1;0;0;2;1;3;1;1
"convergência";1;1;0;0;3;0;4;0;0;2;0
"inserir";1;0;2;2;1;4;2;1;5;74;3
"quadro";1;0;0;0;5;1;0;1;3;2;0
"xx";1;0;0;2;0;0;0;3;2;7;3
"contribuição";1;0;2;1;2;10;9;13;13;42;11
"limite";2;0;0;0;0;0;4;0;3;3;1
"movimento";1;0;0;2;0;1;3;14;7;14;12
"formulação";1;0;0;2;0;2;0;1;1;2;1
"direcionar";1;0;0;0;0;1;0;1;4;11;4
"povo";2;0;0;1;0;0;1;2;3;9;4
"janeiro";1;0;0;0;0;0;1;2;5;7;1
"principalmente";1;0;2;3;2;3;4;4;10;27;15
"exclusão";1;0;0;0;0;1;1;0;0;12;2
"considerar";1;4;6;4;14;3;11;9;9;50;22
"atenção";1;0;1;3;0;2;4;2;7;5;4
"específico";1;2;0;3;2;4;5;3;13;44;12
"incluir";1;0;1;0;1;5;3;2;8;10;21
"breve";1;1;2;0;0;4;3;5;7;13;3
"caracterizar";1;0;0;0;3;2;4;2;3;7;2
"respeito";1;0;2;1;2;5;7;5;5;50;8
"esse";4;0;8;6;1;11;14;18;19;80;25
"comumente";1;0;0;0;0;0;0;0;1;8;3
"expor";1;0;1;1;1;4;2;0;6;23;5
"sustentar";1;0;0;1;0;0;0;1;0;7;4
"literário";2;0;3;2;2;0;3;13;1;23;1
"eletrônico";2;0;1;1;1;11;2;3;6;31;9
"entrevista";2;0;0;2;4;0;4;4;3;14;5
"filologia";2;0;0;0;0;7;2;0;1;1;1
"linguístico";4;0;0;3;1;19;5;2;3;5;5
"horizonte";1;0;1;0;2;2;0;2;1;2;1
"produzir";2;0;6;5;4;9;9;12;10;34;5
"computacional";2;0;2;0;5;7;9;3;12;7;1
"filológico";2;0;0;0;0;2;5;0;5;0;0
"tradicional";1;2;1;0;5;3;2;2;2;13;8
"exploração";1;0;1;3;1;1;2;0;2;8;1
"textual";3;0;0;1;0;5;6;4;6;40;7
"usado";1;0;2;3;1;0;0;1;9;7;5
"corpus";2;0;0;5;1;28;4;5;6;9;6
"examinar";1;0;1;0;3;4;1;1;0;7;10
"combinação";1;1;0;0;0;0;1;0;4;0;6
"procedimento";1;1;0;0;3;2;2;1;4;12;3
"envolvido";2;0;0;1;4;4;2;3;6;14;3
"abordar";2;2;2;2;4;5;10;6;16;63;37
"banco";1;0;1;0;0;3;1;0;2;3;3
"coleção";1;0;1;0;1;1;3;0;4;1;3
"permitir";1;0;4;0;9;9;5;10;14;23;21
"tentar";1;1;0;3;0;0;0;1;1;4;3
"aberto";1;0;2;5;1;15;9;2;2;8;4
"consideração";1;0;1;0;2;2;4;4;3;19;14
"investigação";1;0;3;1;6;13;7;10;15;34;15
"arquivo";4;0;7;2;3;18;22;0;5;28;3
"material";3;0;2;3;4;6;8;5;6;29;13
"então";1;0;0;2;0;2;1;2;2;12;2
"problema";3;0;5;3;2;12;2;6;13;46;19
"lado";1;0;1;1;0;1;1;3;3;3;2
"pergunta";2;0;0;0;1;1;0;0;1;5;1
"manuscrito";2;0;0;0;0;3;4;0;0;4;0
"objeto";1;1;0;4;3;7;6;10;7;20;6
"ler";1;0;1;0;0;3;3;2;3;4;0
"criativo";1;0;0;0;2;1;4;4;4;2;8
"quando";2;0;3;2;3;3;7;1;6;28;10
"contar";1;0;1;0;2;2;8;6;6;27;4
"lugar";1;0;3;0;0;0;2;2;5;15;8
"lei";1;0;2;2;0;2;0;3;4;12;4
"recorte";2;0;0;0;1;0;2;4;4;3;2
"determinar";1;0;0;0;1;0;3;0;2;5;3
"simultaneamente";1;0;0;2;0;4;1;0;0;4;1
"contemplar";1;0;0;0;0;3;3;0;4;6;2
"você";1;0;0;0;0;2;1;0;1;43;1
"colocar";1;0;2;2;1;2;3;2;3;18;0
"inicial";1;1;0;0;1;1;2;5;2;27;6
"obra";1;0;8;3;6;4;3;16;15;53;8
